name,shortName,type,address,phone,notes
さくらケアセンター,さくら,居宅介護支援事業所,東京都新宿区西新宿1-1-1,03-1234-5678,
ひまわり訪問介護ステーション,ひまわり,訪問介護事業所,東京都渋谷区渋谷2-2-2,03-2345-6789,
あおぞらデイサービス,あおぞら,通所介護事業所,東京都港区赤坂3-3-3,03-3456-7890,
やまと訪問看護ステーション,やまと,訪問看護事業所,東京都中央区銀座4-4-4,03-4567-8901,
ふじ福祉用具,ふじ,福祉用具貸与事業所,東京都千代田区丸の内5-5-5,03-5678-9012,
みどり居宅介護支援センター,みどり,居宅介護支援事業所,東京都文京区本郷6-6-6,03-6789-0123,
たんぽぽ訪問介護,たんぽぽ,訪問介護事業所,東京都豊島区池袋7-7-7,03-7890-1234,
こすもすデイケア,こすもす,通所リハビリ事業所,東京都世田谷区三軒茶屋8-8-8,03-8901-2345,
地域包括支援センター中央,包括中央,地域包括支援センター,東京都新宿区新宿9-9-9,03-9012-3456,
市役所介護保険課,,行政機関,東京都新宿区歌舞伎町10-10-10,03-0123-4567,
